container.title,created,doi,title,type,first.author,authors
Journal of Animal Ecology,2006-06-29,10.1111/j.1365-2656.2006.01127.x,Moving towards acceleration for estimates of activity-specific metabolic rate in free-living animals: the case of the cormorant,journal-article,WILSON,"RORY P. WILSON, CRAIG R. WHITE, FLAVIO QUINTANA, LEWIS G. HALSEY, NIKOLAI LIEBSCH, GRAHAM R. MARTIN, PATRICK J. BUTLER"
Science,2015-06-11,10.1126/science.1255642,Aquatic animal telemetry: A panoramic window into the underwater world,journal-article,Hussey,"Nigel E. Hussey, Steven T. Kessel, Kim Aarestrup, Steven J. Cooke, Paul D. Cowley, Aaron T. Fisk, Robert G. Harcourt, Kim N. Holland, Sara J. Iverson, John F. Kocik, Joanna E. Mills Flemming, Fred G. Whoriskey"
Science,2015-06-11,10.1126/science.aaa2478,Terrestrial animal tracking as an eye on life and planet,journal-article,Kays,"Roland Kays, Margaret C. Crofoot, Walter Jetz, Martin Wikelski"
IEEE Journal of Oceanic Engineering,2003-04-03,10.1109/joe.2002.808212,A digital acoustic recording tag for measuring the response of wild marine mammals to sound,journal-article,Johnson,"M.P. Johnson, P.L. Tyack"
Methods in Ecology and Evolution,2010-08-16,10.1111/j.2041-210x.2010.00057.x,Making overall dynamic body acceleration work: on the theory of acceleration as a proxy for energy expenditure,journal-article,Gleiss,"Adrian C. Gleiss, Rory P. Wilson, Emily L. C. Shepard"
Animal Biotelemetry,2013-12-10,10.1186/2050-3385-1-20,Observing the unwatchable through acceleration logging of animal behavior,journal-article,Brown,"Danielle D Brown, Roland Kays, Martin Wikelski, Rory Wilson, A Klimley"
Journal of Experimental Biology,2012-02-22,10.1242/jeb.058602,Using tri-axial acceleration data to identify behavioral modes of free-ranging animals: general concepts and tools illustrated for griffon vultures,journal-article,Nathan,"Ran Nathan, Orr Spiegel, Scott Fortmann-Roe, Roi Harel, Martin Wikelski, Wayne M. Getz"
PLoS ONE,2009-04-29,10.1371/journal.pone.0005379,Can Ethograms Be Automatically Generated Using Body Acceleration Data from Free-Ranging Birds?,journal-article,Sakamoto,"Kentaro Q. Sakamoto, Katsufumi Sato, Mayumi Ishizuka, Yutaka Watanuki, Akinori Takahashi, Francis Daunt, Sarah Wanless"
Proceedings of the National Academy of Sciences,2008-12-06,10.1073/pnas.0800375105,A movement ecology paradigm for unifying organismal movement research,journal-article,Nathan,"Ran Nathan, Wayne M. Getz, Eloy Revilla, Marcel Holyoak, Ronen Kadmon, David Saltz, Peter E. Smouse"
Endangered Species Research,2007-10-30,10.3354/esr00064,Prying into the intimate details of animal lives: use of a daily diary on animals,journal-article,Wilson,"RP Wilson, ELC Shepard, N Liebsch"
PLoS ONE,2012-02-17,10.1371/journal.pone.0031187,Tri-Axial Dynamic Acceleration as a Proxy for Animal Energy Expenditure; Should We Be Summing Values or Calculating the Vector?,journal-article,Qasem,"Lama Qasem, Antonia Cardew, Alexis Wilson, Iwan Griffiths, Lewis G. Halsey, Emily L. C. Shepard, Adrian C. Gleiss, Rory Wilson"
Journal of Statistical Software,2015-10-06,10.18637/jss.v067.i01,Fitting Linear Mixed-Effects Models Using<b>lme4</b>,journal-article,Bates,"Douglas Bates, Martin Mächler, Ben Bolker, Steve Walker"
Statistics for Biology and Health,2009-03-04,10.1007/978-0-387-87458-6,Mixed effects models and extensions in ecology with R,book,Zuur,"Alain F. Zuur, Elena N. Ieno, Neil Walker, Anatoly A. Saveliev, Graham M. Smith"
Frontiers in Ecology and the Environment,2007-06-06,10.1890/1540-9295(2005)003[0437:tapiar]2.0.co;2,Trends and perspectives in animal-attached remote sensing,journal-article,Ropert-Coudert,"Yan Ropert-Coudert, Rory P. Wilson"
Functional Ecology,2004-04-02,10.1111/j.0269-8463.2004.00821.x,Measuring metabolic rate in the field: the pros and cons of the doubly labelled water and heart rate methods,journal-article,Butler,"P. J. Butler, J. A. Green, I. L. Boyd, J. R. Speakman"
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2008-09-28,10.1016/j.cbpa.2008.09.021,The relationship between oxygen consumption and body acceleration in a range of species,journal-article,Halsey,"L.G. Halsey, E.L.C. Shepard, F. Quintana, A. Gomez Laich, J.A. Green, R.P. Wilson"
Nature,2011-06-21,10.1038/nature10082,Tracking apex marine predator movements in a dynamic ocean,journal-article,Block,"B. A. Block, I. D. Jonsen, S. J. Jorgensen, A. J. Winship, S. A. Shaffer, S. J. Bograd, E. L. Hazen, D. G. Foley, G. A. Breed, A.-L. Harrison, J. E. Ganong, A. Swithenbank, M. Castleton, H. Dewar, B. R. Mate, G. L. Shillinger, K. M. Schaefer, S. R. Benson, M. J. Weise, R. W. Henry, D. P. Costa"
Ecological Modelling,2006-04-19,10.1016/j.ecolmodel.2006.03.017,The package “adehabitat” for the R software: A tool for the analysis of space and habitat use by animals,journal-article,Calenge,Clément Calenge
Trends in Ecology &amp; Evolution,2008-01-14,10.1016/j.tree.2007.10.009,State–space models of individual animal movement,journal-article,PATTERSON,"T PATTERSON, L THOMAS, C WILCOX, O OVASKAINEN, J MATTHIOPOULOS"
Endangered Species Research,2008-02-21,10.3354/esr00084,Identification of animal movement patterns using tri-axial accelerometry,journal-article,Shepard,"ELC Shepard, RP Wilson, F Quintana, A Gómez Laich, N Liebsch, DA Albareda, LG Halsey, A Gleiss, DT Morgan, AE Myers, C Newman, DW McDonald"
Proceedings of the National Academy of Sciences,2013-01-23,10.1073/pnas.1216244110,Linking animal-borne video to accelerometers reveals prey capture variability,journal-article,Watanabe,"Yuuki Y. Watanabe, Akinori Takahashi"
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2010-09-16,10.1016/j.cbpa.2010.09.002,Assessing the development and application of the accelerometry technique for estimating energy expenditure,journal-article,Halsey,"Lewis G. Halsey, Emily L.C. Shepard, Rory P. Wilson"
Comparative Biochemistry and Physiology Part A: Molecular &amp; Integrative Physiology,2010-09-23,10.1016/j.cbpa.2010.09.011,The heart rate method for estimating metabolic rate: Review and recommendations,journal-article,Green,Jonathan A. Green
Aquatic Biology,2008-11-12,10.3354/ab00104,Derivation of body motion via appropriate smoothing of acceleration data,journal-article,Shepard,"ELC Shepard, RP Wilson, LG Halsey, F Quintana, A Gómez Laich, AC Gleiss, N Liebsch, AE Myers, B Norman"
Trends in Ecology &amp; Evolution,2016-03-12,10.1016/j.tree.2016.02.015,Key Questions in Marine Megafauna Movement Ecology,journal-article,Hays,"Graeme C. Hays, Luciana C. Ferreira, Ana M.M. Sequeira, Mark G. Meekan, Carlos M. Duarte, Helen Bailey, Fred Bailleul, W. Don Bowen, M. Julian Caley, Daniel P. Costa, Victor M. Eguíluz, Sabrina Fossette, Ari S. Friedlaender, Nick Gales, Adrian C. Gleiss, John Gunn, Rob Harcourt, Elliott L. Hazen, Michael R. Heithaus, Michelle Heupel, Kim Holland, Markus Horning, Ian Jonsen, Gerald L. Kooyman, Christopher G. Lowe, Peter T. Madsen, Helene Marsh, Richard A. Phillips, David Righton, Yan Ropert-Coudert, Katsufumi Sato, Scott A. Shaffer, Colin A. Simpfendorfer, David W. Sims, Gregory Skomal, Akinori Takahashi, Philip N. Trathan, Martin Wikelski, Jamie N. Womble, Michele Thums"
Philosophical Transactions of the Royal Society B: Biological Sciences,2010-06-21,10.1098/rstb.2010.0107,Animal ecology meets GPS-based radiotelemetry: a perfect storm of opportunities and challenges,journal-article,Cagnacci,"Francesca Cagnacci, Luigi Boitani, Roger A. Powell, Mark S. Boyce"
Ecology,2007-06-04,10.1890/04-1852,ROBUST STATE–SPACE MODELING OF ANIMAL MOVEMENT DATA,journal-article,Jonsen,"Ian D. Jonsen, Joanna Mills Flemming, Ransom A. Myers"
Science,2015-01-15,10.1126/science.1258732,The roller coaster flight strategy of bar-headed geese conserves energy during Himalayan migrations,journal-article,Bishop,"C. M. Bishop, R. J. Spivey, L. A. Hawkes, N. Batbayar, B. Chua, P. B. Frappell, W. K. Milsom, T. Natsagdorj, S. H. Newman, G. R. Scott, J. Y. Takekawa, M. Wikelski, P. J. Butler"
The American Naturalist,2013-07-15,10.1086/671257,Energy Landscapes Shape Animal Movement Ecology,journal-article,Shepard,"Emily L. C. Shepard, Rory P. Wilson, W. Gareth Rees, Edward Grundy, Sergio A. Lambertucci, Simon B. Vosper"
